repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category4_surface_mentions/htdt__godogen,htdt__godogen,category4_surface_mentions,https://github.com/htdt/godogen.git,3000,278,False,MIT,2026-04-16T22:15:26+02:00,10,0-30d,0,0,0,0,0,0,8,6,0,0,2,True,,
category4_surface_mentions/huangserva__skill-prompt-generator,huangserva__skill-prompt-generator,category4_surface_mentions,https://github.com/huangserva/skill-prompt-generator.git,1300,199,False,,2026-01-14T23:41:56+08:00,102,91-180d,0,0,0,0,0,0,3,3,0,0,2,True,,
category4_surface_mentions/huggingface__skills,huggingface__skills,category4_surface_mentions,https://github.com/huggingface/skills.git,10300,649,False,Apache-2.0,2026-04-16T15:10:28+02:00,10,0-30d,10,2,0,10,0,0,17,12,3,1,4,True,unsafe_command_or_execution_surface,1
category4_surface_mentions/iannuttall__claude-agents,iannuttall__claude-agents,category4_surface_mentions,https://github.com/iannuttall/claude-agents.git,2000,266,False,MIT,2025-07-25T12:08:37+01:00,275,181-365d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/intellectronica__ruler,intellectronica__ruler,category4_surface_mentions,https://github.com/intellectronica/ruler.git,2700,137,False,MIT,2026-04-15T21:02:48+02:00,11,0-30d,0,0,0,0,0,0,8,0,0,3,2,False,,
category4_surface_mentions/intentee__paddler,intentee__paddler,category4_surface_mentions,https://github.com/intentee/paddler.git,1500,84,False,Apache-2.0,2026-04-20T12:40:10+02:00,6,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category4_surface_mentions/internet-development__www-sacred,internet-development__www-sacred,category4_surface_mentions,https://github.com/internet-development/www-sacred.git,1500,80,False,MIT,2026-04-09T11:49:44-07:00,17,0-30d,1,0,0,1,0,0,8,4,0,0,2,True,tool_or_skill_poisoning_surface,1
category4_surface_mentions/ipfs__kubo,ipfs__kubo,category4_surface_mentions,https://github.com/ipfs/kubo.git,17000,3200,False,License,2026-04-20T21:54:08+02:00,6,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/ixartz__SaaS-Boilerplate,ixartz__SaaS-Boilerplate,category4_surface_mentions,https://github.com/ixartz/SaaS-Boilerplate.git,7000,1300,False,MIT,2026-02-20T06:18:02+01:00,66,31-90d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/jacob-bd__notebooklm-mcp-cli,jacob-bd__notebooklm-mcp-cli,category4_surface_mentions,https://github.com/jacob-bd/notebooklm-mcp-cli.git,4000,641,False,MIT,2026-04-17T18:04:06-04:00,9,0-30d,0,0,0,0,0,0,3,1,0,0,2,True,,
category4_surface_mentions/jamesmurdza__awesome-ai-devtools,jamesmurdza__awesome-ai-devtools,category4_surface_mentions,https://github.com/jamesmurdza/awesome-ai-devtools.git,3800,635,False,,2026-04-18T08:41:39-07:00,8,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/jarrodwatts__claude-code-config,jarrodwatts__claude-code-config,category4_surface_mentions,https://github.com/jarrodwatts/claude-code-config.git,1000,122,False,,2026-01-21T23:43:30+11:00,95,91-180d,2,0,0,2,0,0,7,5,0,0,2,True,prompt_or_instruction_override_surface,1
category4_surface_mentions/jarrodwatts__claude-hud,jarrodwatts__claude-hud,category4_surface_mentions,https://github.com/jarrodwatts/claude-hud.git,20800,927,False,MIT,2026-04-21T10:06:13+10:00,6,0-30d,0,0,0,0,0,0,2,0,1,0,2,False,,
category4_surface_mentions/jayminwest__overstory,jayminwest__overstory,category4_surface_mentions,https://github.com/jayminwest/overstory.git,1200,205,False,MIT,2026-03-23T13:47:01-07:00,34,31-90d,0,0,0,0,0,0,1,0,0,0,1,False,,
category4_surface_mentions/jdx__fnox,jdx__fnox,category4_surface_mentions,https://github.com/jdx/fnox.git,1500,67,False,MIT,2026-04-21T01:38:14+00:00,6,0-30d,2,0,0,2,0,0,2,0,0,0,1,False,agent_role_or_goal_manipulation,2
category4_surface_mentions/jeremylongshore__claude-code-plugins-plus-skills,jeremylongshore__claude-code-plugins-plus-skills,category4_surface_mentions,https://github.com/jeremylongshore/claude-code-plugins-plus-skills.git,2000,276,False,MIT,2026-04-20T22:11:49-05:00,6,0-30d,635,3,54,629,5,0,5969,4634,1305,26,4,True,agent_role_or_goal_manipulation,41
