repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category2_agent_tooling/microsoft__autogen,microsoft__autogen,../agent-instruction-corpus/clones/category2_agent_tooling/microsoft__autogen,https://github.com/microsoft/autogen.git,microsoft,autogen,True,57500,8700,False,CC-BY-4.0,2026-04-06T15:35:32-07:00,2026-04-06T15:35:32-07:00,1,20,20,0-30d,True
category2_agent_tooling/modelcontextprotocol__python-sdk,modelcontextprotocol__python-sdk,../agent-instruction-corpus/clones/category2_agent_tooling/modelcontextprotocol__python-sdk,https://github.com/modelcontextprotocol/python-sdk.git,modelcontextprotocol,python-sdk,True,22800,3400,False,MIT,2026-04-14T21:41:51+00:00,2026-04-14T21:41:51+00:00,1,12,12,0-30d,True
category2_agent_tooling/modelcontextprotocol__servers,modelcontextprotocol__servers,../agent-instruction-corpus/clones/category2_agent_tooling/modelcontextprotocol__servers,https://github.com/modelcontextprotocol/servers.git,modelcontextprotocol,servers,True,84600,10500,True,License,2026-04-17T18:59:54-04:00,2026-04-17T18:59:54-04:00,1,9,9,0-30d,True
category2_agent_tooling/modelcontextprotocol__typescript-sdk,modelcontextprotocol__typescript-sdk,../agent-instruction-corpus/clones/category2_agent_tooling/modelcontextprotocol__typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk.git,modelcontextprotocol,typescript-sdk,True,12300,1800,False,License,2026-04-20T14:56:04+03:00,2026-04-20T14:56:04+03:00,1,6,6,0-30d,True
category2_agent_tooling/openai__codex,openai__codex,../agent-instruction-corpus/clones/category2_agent_tooling/openai__codex,https://github.com/openai/codex.git,openai,codex,True,78200,11200,False,Apache-2.0,2026-04-20T09:00:44-07:00,2026-04-20T09:00:44-07:00,1,6,6,0-30d,True
category2_agent_tooling/run-llama__llama_index,run-llama__llama_index,../agent-instruction-corpus/clones/category2_agent_tooling/run-llama__llama_index,https://github.com/run-llama/llama_index.git,run-llama,llama_index,True,49000,7300,False,MIT,2026-04-15T20:09:18-06:00,2026-04-15T20:09:18-06:00,1,11,11,0-30d,True
category3_custom_agents_instructions_skills/Code-and-Sorts__awesome-copilot-agents,Code-and-Sorts__awesome-copilot-agents,../agent-instruction-corpus/clones/category3_custom_agents_instructions_skills/Code-and-Sorts__awesome-copilot-agents,https://github.com/Code-and-Sorts/awesome-copilot-agents.git,Code-and-Sorts,awesome-copilot-agents,True,493,69,False,CC0-1.0,2026-03-29T16:27:41-06:00,2026-03-29T16:27:41-06:00,1,28,28,0-30d,True
category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,ComposioHQ__awesome-claude-skills,../agent-instruction-corpus/clones/category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills.git,ComposioHQ,awesome-claude-skills,True,56600,6100,False,,2026-02-19T11:51:45+05:30,2026-02-19T11:51:45+05:30,1,67,67,31-90d,True
category3_custom_agents_instructions_skills/GetBindu__awesome-claude-code-and-skills,GetBindu__awesome-claude-code-and-skills,../agent-instruction-corpus/clones/category3_custom_agents_instructions_skills/GetBindu__awesome-claude-code-and-skills,https://github.com/GetBindu/awesome-claude-code-and-skills.git,GetBindu,awesome-claude-code-and-skills,True,94,24,False,Apache-2.0,2026-04-11T09:59:12+02:00,2026-04-11T09:59:12+02:00,1,16,16,0-30d,True
category3_custom_agents_instructions_skills/NousResearch__hermes-agent,NousResearch__hermes-agent,../agent-instruction-corpus/clones/category3_custom_agents_instructions_skills/NousResearch__hermes-agent,https://github.com/NousResearch/hermes-agent.git,NousResearch,hermes-agent,True,119000,17700,False,MIT,2026-04-20T11:40:52-05:00,2026-04-20T11:40:52-05:00,1,6,6,0-30d,True
